cycle,avg_attention,avg_performance,is_break,high_attention_count
0,0.5004921874022618,0.5,true,8
1,0.5504921874022617,0.5047999999999999,true,9
2,0.5984607871475266,0.5095999999999998,true,10
3,0.6424327335412146,0.5147999999999999,true,12
4,0.6828071973215026,0.5207999999999999,true,12
5,0.7214161491358104,0.5268,true,13
6,0.7554161491358105,0.5336000000000001,true,15
7,0.7877121091201044,0.5412,true,15
8,0.8192985519698436,0.5492,true,17
9,0.847003162338555,0.5579999999999999,true,19
10,0.8730031623385551,0.5672,true,20
11,0.8977340007268897,0.5768,true,22
12,0.9205096194944405,0.5868000000000003,true,23
13,0.9405096194944407,0.5968000000000002,true,24
14,0.9573395427468776,0.6068000000000002,true,25
15,0.9708465026553817,0.6168000000000002,true,25
16,0.9817939237287243,0.6268,true,25
17,0.98905974929795,0.6368,true,25
18,0.9950482290175303,0.6467999999999999,true,25
19,0.9990390159856405,0.6568,true,25
20,1.0,0.6668000000000002,true,25
21,1.0,0.6768000000000004,true,25
22,1.0,0.6868000000000003,true,25
23,1.0,0.6968000000000002,true,25
24,1.0,0.7068000000000002,true,25
25,1.0,0.7168000000000001,true,25
26,1.0,0.7268000000000001,true,25
27,1.0,0.7368000000000003,true,25
28,1.0,0.7468000000000004,true,25
29,1.0,0.7568000000000005,true,25
30,1.0,0.7668000000000004,false,25
31,0.9800000000000003,0.7768000000000002,false,25
32,0.9600000000000005,0.7868000000000002,false,25
33,0.9400000000000002,0.7968000000000004,false,25
34,0.9200000000000003,0.8068000000000002,false,25
35,0.8999999999999997,0.8168000000000001,false,25
36,0.8799999999999994,0.8268000000000003,false,25
37,0.8599999999999995,0.8368000000000002,false,25
38,0.8399999999999999,0.8468000000000003,false,25
39,0.8200000000000002,0.8568000000000003,false,25
40,0.8000000000000003,0.8668000000000005,false,25
41,0.7799999999999998,0.8768000000000004,false,25
42,0.7599999999999997,0.8868000000000004,false,25
43,0.7399999999999999,0.8968000000000004,false,25
44,0.7199999999999993,0.9068000000000004,false,25
45,0.6999999999999994,0.9168000000000005,false,0
46,0.6799999999999997,0.9268000000000004,false,0
47,0.66,0.9368000000000003,false,0
48,0.6400000000000001,0.9468000000000005,false,0
49,0.6199999999999993,0.9568000000000006,false,0
50,0.5999999999999996,0.9568000000000006,false,0
51,0.58,0.9568000000000006,false,0
52,0.5599999999999993,0.9568000000000006,false,0
53,0.5399999999999993,0.9568000000000006,false,0
54,0.5199999999999996,0.9568000000000006,false,0
55,0.49999999999999983,0.9568000000000006,false,0
56,0.47999999999999987,0.9568000000000006,false,0
57,0.45999999999999924,0.9568000000000006,false,0
58,0.4399999999999995,0.9568000000000006,false,0
59,0.4199999999999997,0.9568000000000006,false,0
60,0.3999999999999993,0.9568000000000006,true,0
61,0.44999999999999934,0.9568000000000006,true,0
62,0.49999999999999956,0.9568000000000006,true,0
63,0.5499999999999994,0.9568000000000006,true,0
64,0.5999999999999995,0.9568000000000006,true,0
65,0.6499999999999999,0.9668000000000003,true,0
66,0.6999999999999994,0.972,true,0
67,0.7499999999999999,0.9772000000000004,true,25
68,0.7999999999999996,0.982,true,25
69,0.8500000000000001,0.9860000000000003,true,25
70,0.8999999999999996,0.9900000000000001,true,25
71,0.9499999999999996,0.9932000000000001,true,25
72,0.9999999999999999,0.9956,true,25
73,1.0,0.9976,true,25
74,1.0,0.9988000000000001,true,25
75,1.0,0.9996,true,25
76,1.0,1.0,true,25
77,1.0,1.0,true,25
78,1.0,1.0,true,25
79,1.0,1.0,true,25
80,1.0,1.0,true,25
81,1.0,1.0,true,25
82,1.0,1.0,true,25
83,1.0,1.0,true,25
84,1.0,1.0,true,25
85,1.0,1.0,true,25
86,1.0,1.0,true,25
87,1.0,1.0,true,25
88,1.0,1.0,true,25
89,1.0,1.0,true,25
90,1.0,1.0,false,25
91,0.9800000000000003,1.0,false,25
92,0.9600000000000005,1.0,false,25
93,0.9400000000000002,1.0,false,25
94,0.9200000000000003,1.0,false,25
95,0.8999999999999997,1.0,false,25
96,0.8799999999999994,1.0,false,25
97,0.8599999999999995,1.0,false,25
98,0.8399999999999999,1.0,false,25
99,0.8200000000000002,1.0,false,25
100,0.8000000000000003,1.0,false,25
101,0.7799999999999998,1.0,false,25
102,0.7599999999999997,1.0,false,25
103,0.7399999999999999,1.0,false,25
104,0.7199999999999993,1.0,false,25
105,0.6999999999999994,1.0,false,0
106,0.6799999999999997,1.0,false,0
107,0.66,1.0,false,0
108,0.6400000000000001,1.0,false,0
